,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,MOV,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,Season
13,Chicago,82,48.5,97.8,36.6,82.2,0.446,6.8,18.0,0.379,17.7,24.0,0.738,11.0,31.7,42.8,22.0,6.2,4.2,14.7,24.9,0.527,0.48700000000000004,156.3,26.3,74.7,50.6,60.1,13.7,6.6,6.8,1.2,55.4,104.4,103.7,0.7,7680.5,92.6,0.6,1.601,1.5,0.4,0.21600000000000003,41,41,0.5,2006
14,Cleveland,82,48.4,97.6,35.5,78.2,0.45399999999999996,6.1,17.9,0.33899999999999997,20.6,28.3,0.7290000000000001,11.7,30.6,42.3,19.0,6.9,4.8,13.8,21.1,0.5379999999999999,0.49200000000000005,152.1,28.4,75.7,51.8,53.6,13.2,7.7,7.5,1.2,57.4,108.1,105.6,2.5,7402.7,89.6,2.2,1.536,1.4,0.5,0.263,50,32,0.61,2006
15,Atlanta,82,48.5,97.2,35.9,79.2,0.45399999999999996,5.2,14.1,0.36700000000000005,20.2,26.9,0.75,13.0,27.2,40.3,19.8,7.2,4.8,15.3,25.0,0.534,0.486,157.1,31.4,69.5,49.9,55.2,14.4,7.9,7.5,1.2,53.7,106.9,112.2,-5.2,7455.8,90.0,-4.8,1.5519999999999998,1.3,0.5,0.255,26,56,0.317,2006
16,L.A. Clippers,82,48.3,97.2,36.5,78.6,0.465,3.5,10.3,0.344,20.7,26.1,0.7909999999999999,10.1,33.0,43.1,20.8,6.5,6.1,14.0,22.8,0.54,0.48700000000000004,159.9,25.4,75.9,51.8,57.1,13.5,7.1,9.5,1.2,59.1,105.8,104.1,1.7,7534.2,91.3,1.6,1.571,1.5,0.5,0.263,47,35,0.573,2006
17,Charlotte,82,48.6,96.9,36.1,83.5,0.433,5.2,15.4,0.33899999999999997,19.4,26.7,0.7290000000000001,12.1,27.7,39.8,20.9,10.0,4.3,13.8,23.9,0.509,0.46399999999999997,150.1,27.1,70.7,47.5,58.0,12.7,10.7,6.9,1.2,54.9,102.9,107.1,-4.2,7720.0,93.1,-4.0,1.58,1.5,0.7,0.233,26,56,0.317,2006
18,Detroit,82,48.4,96.8,36.4,80.0,0.455,6.8,17.7,0.384,17.3,23.8,0.727,11.9,28.6,40.5,24.0,7.1,6.0,11.0,18.5,0.535,0.49700000000000005,156.6,28.9,71.2,49.8,66.1,10.8,8.1,9.0,1.2,64.7,111.3,103.6,7.7,7136.4,86.4,6.7,1.661,2.2,0.6,0.21600000000000003,64,18,0.78,2006
19,New York,82,48.6,95.6,34.4,75.7,0.455,3.9,10.8,0.36200000000000004,22.9,31.5,0.726,12.6,28.8,41.4,17.9,6.8,3.3,17.3,26.3,0.534,0.48100000000000004,154.3,31.2,72.8,51.8,52.0,16.2,7.4,5.6,1.3,48.4,104.4,111.4,-7.0,7507.9,90.4,-6.4,1.52,1.0,0.4,0.303,23,59,0.28,2006
20,San Antonio,82,48.3,95.6,36.5,77.3,0.47200000000000003,6.4,16.6,0.385,16.2,23.1,0.7020000000000001,10.4,31.1,41.5,20.9,6.6,5.7,13.4,20.9,0.546,0.513,155.8,26.0,74.2,50.7,57.4,13.3,7.5,8.4,1.2,59.6,107.7,100.0,7.7,7274.9,88.2,6.8,1.574,1.6,0.5,0.209,63,19,0.768,2006
21,Orlando,82,48.5,94.9,35.5,75.2,0.47200000000000003,3.6,9.7,0.376,20.3,27.8,0.73,10.9,29.3,40.2,18.2,6.5,4.4,14.6,23.3,0.5429999999999999,0.496,157.8,28.5,72.5,51.1,51.4,14.3,7.3,7.2,1.3,52.6,106.8,108.0,-1.2,7291.6,87.9,-1.1,1.514,1.2,0.4,0.27,36,46,0.439,2006
22,Indiana,82,48.1,93.9,34.0,76.5,0.444,6.5,18.7,0.349,19.4,26.3,0.737,11.0,31.2,42.2,19.9,7.3,5.0,14.9,22.2,0.5329999999999999,0.48700000000000004,153.0,27.1,72.6,50.5,58.5,14.4,8.2,7.5,1.2,55.9,104.9,102.8,2.1,7336.1,89.2,1.9,1.585,1.3,0.5,0.254,41,41,0.5,2006
23,Brooklyn,82,48.2,93.8,33.9,77.0,0.44,5.8,17.6,0.33,20.2,26.7,0.758,10.0,31.0,41.0,23.0,6.8,3.4,13.2,23.2,0.528,0.478,152.8,24.0,76.3,49.8,67.8,12.9,7.6,5.7,1.2,56.1,104.4,102.9,1.5,7365.8,89.4,1.4,1.6780000000000002,1.7,0.5,0.262,49,33,0.598,2006
24,New Orleans,82,48.3,92.8,34.5,78.4,0.44,3.7,10.8,0.33899999999999997,20.1,26.5,0.758,11.2,29.0,40.2,18.5,7.5,3.8,13.2,21.8,0.515,0.46399999999999997,153.7,26.9,73.4,49.5,53.7,12.7,8.4,6.5,1.2,52.0,104.0,107.2,-3.2,7318.0,88.7,-2.8,1.537,1.4,0.6,0.257,38,44,0.46299999999999997,2006
25,Utah,82,48.5,92.4,33.5,75.7,0.442,3.8,11.3,0.336,21.6,30.1,0.7190000000000001,13.1,29.0,42.1,21.6,6.4,6.0,15.1,24.8,0.519,0.467,149.8,32.4,73.2,52.6,64.6,14.5,7.2,10.3,1.2,54.1,104.4,107.4,-3.0,7252.8,87.6,-2.6,1.646,1.4,0.4,0.28600000000000003,41,41,0.5,2006
26,Memphis,82,48.4,92.2,33.5,74.7,0.44799999999999995,7.2,19.2,0.374,18.0,25.3,0.711,10.2,29.0,39.2,19.3,7.3,5.4,13.2,21.4,0.537,0.496,153.3,25.8,72.0,49.1,57.8,13.3,8.5,8.9,1.2,55.1,106.6,102.3,4.3,7088.5,85.7,3.7,1.578,1.5,0.6,0.24100000000000002,49,33,0.598,2006
27,Minnesota,82,48.4,91.7,35.2,77.3,0.456,3.8,11.5,0.32899999999999996,17.5,23.1,0.758,9.9,29.5,39.4,20.9,6.8,5.7,14.0,23.0,0.524,0.48,154.2,25.2,71.3,48.9,59.4,13.8,7.7,9.0,1.2,53.8,103.0,105.1,-2.1,7300.8,88.2,-1.9,1.594,1.5,0.5,0.226,33,49,0.402,2006
28,Houston,82,48.4,90.1,33.0,76.2,0.433,5.7,17.2,0.332,18.3,24.1,0.759,10.4,31.3,41.6,19.3,7.2,3.9,14.0,22.7,0.519,0.47100000000000003,152.3,25.5,74.6,50.5,58.3,13.8,8.1,6.6,1.2,51.8,102.2,104.0,-1.8,7230.8,87.5,-1.6,1.5830000000000002,1.4,0.5,0.24,34,48,0.415,2006
29,Portland,82,48.1,88.8,34.0,76.4,0.445,4.4,12.7,0.349,16.3,23.7,0.6890000000000001,10.8,26.9,37.7,18.2,6.5,5.3,14.0,22.3,0.511,0.474,148.3,26.6,68.2,47.1,53.4,13.9,7.4,8.4,1.2,48.5,101.7,112.5,-10.8,7163.9,87.1,-9.5,1.534,1.3,0.5,0.214,21,61,0.256,2006
0,Phoenix,82,48.5,110.2,41.3,83.6,0.494,9.6,24.0,0.39899999999999997,18.0,22.3,0.8079999999999999,9.0,31.5,40.5,25.9,6.7,4.8,14.5,20.2,0.59,0.551,170.2,22.7,71.9,48.6,62.6,13.4,7.0,6.9,1.3,69.7,113.9,106.4,7.6,7932.3,95.6,7.3,1.626,1.8,0.5,0.215,61,21,0.7440000000000001,2007
1,Golden State,82,48.2,106.5,39.8,86.0,0.46299999999999997,8.5,24.0,0.35600000000000004,18.5,25.8,0.7170000000000001,11.5,30.0,41.4,23.8,9.1,5.7,16.0,23.6,0.5479999999999999,0.512,153.6,25.6,69.6,47.1,59.8,14.1,9.2,8.9,1.2,64.1,107.0,107.4,-0.3,8162.1,99.2,-0.3,1.598,1.5,0.6,0.215,42,40,0.512,2007
2,Denver,82,48.2,105.4,38.6,83.0,0.465,5.9,17.6,0.336,22.3,29.9,0.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,0.5479999999999999,0.501,154.7,28.9,71.8,50.7,60.7,14.6,8.4,7.9,1.3,64.1,107.6,105.9,1.7,8031.0,97.4,1.6,1.607,1.4,0.5,0.268,45,37,0.5489999999999999,2007
3,Washington,82,48.4,104.3,37.4,83.2,0.45,6.8,19.7,0.348,22.6,29.6,0.765,12.2,29.0,41.2,20.2,7.7,4.6,13.8,22.2,0.542,0.491,156.3,28.1,71.0,48.9,54.1,12.6,8.2,7.3,1.3,59.9,110.1,110.6,-0.5,7772.7,94.1,-0.5,1.541,1.5,0.6,0.272,41,41,0.5,2007
4,L.A. Lakers,82,48.9,103.3,37.8,81.3,0.466,7.4,21.0,0.353,20.2,27.1,0.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,0.5539999999999999,0.511,156.6,26.1,72.3,49.4,59.6,14.3,7.7,8.0,1.3,60.4,108.6,108.6,-0.1,7806.5,93.5,-0.1,1.5959999999999999,1.5,0.5,0.249,42,40,0.512,2007
5,Memphis,82,48.7,101.6,36.6,78.6,0.465,6.1,16.6,0.36700000000000005,22.4,29.4,0.7609999999999999,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,0.555,0.504,159.3,25.9,71.1,48.5,56.0,15.2,7.2,7.7,1.3,56.4,106.9,112.3,-5.4,7792.8,93.6,-5.1,1.56,1.3,0.4,0.285,22,60,0.268,2007
